PNR,PNR_CREATE_DT,NUM_IN_PARTY,CHANNEL,ORIGIN,DEST,OD,NUM_SEGMENTS,PNR_DEPARTURE_DATE,PNR_RETURN_DATE,BUSINESS_PROBABILITY,BLEISURE_PROBABILITY,VFR_PROBABILITY,VACATION_PROBABILITY,PERSONAL_PROBABILITY,REVENUE,ADVANCED_PURCHASE,ROUNDTRIP,NONSTOP,REVENUE_PER_PERSON,TRAVEL_TYPE,departure_month,departure_month_name,LENGTH_OF_STAY,WEEKEND_DEPARTURE,WEEKEND_ARRIVAL,TRAVEL_DISTANCE,Distance_Bin,Holiday_Departure,Holiday_Return,Cumulative_Booking_Count,BOOKING_WINDOW
D863031,2022-11-27,1,DIRECT,ORD,MCO,ORD-MCO,1,2022-12-08,,0.0838,0.0677,0.484,0.0874,0.2772,268.84,11,False,True,268.84,VFR,12,December,,False,,1005.0,1000-1500,,,116,8-14 days
B603218,2022-05-20,1,DIRECT,DFW,SFO,DFW-SFO,1,2022-09-04,,0.0095,0.0338,0.2896,0.6246,0.0425,199.07,107,False,True,199.07,VACATION,9,September,,True,,1464.0,1000-1500,Labor Day,,18,21+ days
B448028,2022-09-23,4,DIRECT,STL,AUS,STL-AUS,1,2022-10-05,,0.0091,0.0631,0.4846,0.4105,0.0327,907.12,12,False,True,226.78,VFR,10,October,,False,,,,,,22,8-14 days
D607980,2022-08-08,4,LEISURE,PHX,MIA,PHX-MIA,1,2022-08-08,,0.0775,0.0672,0.2621,0.4427,0.1504,509.76,0,False,True,127.44,VACATION,8,August,,False,,1972.0,1500-2000,,,85,
B64975,2022-06-06,2,DIRECT,TYR,BWI,TYR-BWI,1,2022-08-18,,0.036,0.034,0.5984,0.1453,0.1862,241.86,73,False,True,120.93,VFR,8,August,,False,,1150.0,1000-1500,,,0,21+ days
B604829,2022-09-21,1,LEISURE,LGA,CMH,LGA-CMH,1,2022-10-14,,0.0283,0.0267,0.8621,0.0378,0.045,133.95,23,False,True,133.95,VFR,10,October,,True,,479.0,0-500,,,77,21+ days
B31250,2022-11-13,1,DIRECT,PIT,BOS,PIT-BOS,1,2022-11-18,,0.092,0.068,0.6191,0.1274,0.0935,44.73,5,False,True,44.73,VFR,11,November,,True,,496.0,0-500,,,12,1-7 days
A519170,2022-08-09,2,DIRECT,DCA,AGS,DCA-AGS,2,2022-09-16,2022-09-19,0.0059,0.0153,0.8723,0.0605,0.046,381.4,38,True,False,190.7,VFR,9,September,3 days,True,0.0,468.0,0-500,,,0,21+ days
E74810,2022-08-22,3,OTA,ART,PBI,ART-PBI,1,2022-08-24,,0.1693,0.0806,0.3852,0.0687,0.2962,220.47,2,False,True,73.49,VFR,8,August,,False,,1215.0,1000-1500,,,0,1-7 days
E224504,2022-11-04,2,OTA,MKE,VPS,MKE-VPS,1,2022-12-03,,0.0119,0.0298,0.6904,0.2174,0.0505,112.56,29,False,True,56.28,VFR,12,December,,True,,863.0,500-1000,,,0,21+ days
B17681,2022-10-09,1,DIRECT,PIT,DFW,PIT-DFW,1,2022-11-05,,0.0108,0.0253,0.8593,0.0444,0.0601,195.35,27,False,True,195.35,VFR,11,November,,True,,1067.0,1000-1500,,,19,21+ days
